Total marks,Percentage in Communication skills,Hours working per day,Logical quotient rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Higher Studies?,Taken inputs from seniors or elders,interested in games,Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,interested career area ,Interested Type of Books
87,83,10,7,7,no,no,yes,no,yes,3,2,higherstudies,yes,no,stubborn,Management,smart worker,no,no,Information Security Analyst,cloud computing,Fantasy
86,94,6,1,8,yes,yes,no,no,yes,3,2,job,no,no,stubborn,Technical,smart worker,yes,no,Programmer Analyst,developer,Poetry
80,79,5,7,1,no,no,no,no,no,3,3,higherstudies,yes,no,gentle,Technical,smart worker,yes,yes,Technical Services/Help Desk/Tech Support,security,Dictionaries
68,72,11,7,1,no,yes,no,yes,yes,3,1,higherstudies,no,yes,gentle,Technical,hard worker,yes,yes,Information Technology Auditor,testing,Health
87,63,7,6,3,yes,no,yes,yes,no,3,3,job,no,yes,gentle,Management,hard worker,yes,no,Solutions Architect,system developer,Math
61,88,9,8,1,no,no,yes,no,yes,3,1,job,no,yes,gentle,Technical,hard worker,no,yes,Database Manager,testing,Health
73,67,4,2,8,yes,no,no,yes,no,2,1,job,no,no,gentle,Management,smart worker,yes,yes,Information Technology Auditor,system developer,Journals
88,89,10,8,2,no,yes,yes,no,yes,3,3,job,no,no,stubborn,Management,hard worker,yes,yes,Information Technology Manager,testing,Diaries
83,74,12,9,9,no,yes,yes,yes,no,2,2,job,no,yes,gentle,Management,hard worker,no,no,Database Developer,cloud computing,Satire
65,65,12,7,2,yes,yes,no,yes,no,1,1,higherstudies,yes,yes,gentle,Management,smart worker,yes,yes,Database Manager,security,Travel
72,94,5,9,9,yes,no,no,no,no,2,3,higherstudies,no,no,gentle,Management,smart worker,no,no,Technical Support,system developer,Science fiction
80,91,5,1,2,yes,yes,no,no,yes,1,1,higherstudies,yes,yes,stubborn,Technical,hard worker,no,yes,Quality Assurance Associate,security,Mystery
80,86,5,9,3,no,yes,yes,yes,yes,2,1,job,yes,no,stubborn,Technical,hard worker,yes,no,Network Security Engineer,testing,Encyclopedias
62,88,12,5,1,no,yes,yes,yes,no,2,2,higherstudies,yes,yes,gentle,Technical,smart worker,yes,yes,Quality Assurance Associate,security,Fantasy
92,63,12,5,9,yes,no,no,no,yes,3,2,job,no,yes,stubborn,Technical,smart worker,no,yes,Database Manager,cloud computing,Science
78,81,12,8,5,no,yes,yes,no,yes,3,3,job,yes,yes,stubborn,Management,hard worker,yes,yes,Data Architect,security,Encyclopedias
74,71,12,9,6,no,yes,no,yes,yes,3,3,job,yes,yes,stubborn,Technical,hard worker,yes,no,Database Developer,security,Self help
61,79,7,4,6,yes,yes,no,no,yes,1,2,job,yes,no,stubborn,Management,hard worker,no,yes,Technical Engineer,cloud computing,History
74,63,8,5,3,yes,no,no,no,no,1,1,job,yes,yes,gentle,Technical,smart worker,yes,yes,Software Quality Assurance (QA) / Testing,Business process analyst,Horror
84,73,5,7,3,yes,no,no,no,yes,3,2,job,no,no,gentle,Technical,hard worker,yes,yes,Systems Analyst,cloud computing,Horror
68,88,5,4,7,yes,no,yes,yes,yes,2,3,job,yes,yes,gentle,Management,smart worker,yes,no,Technical Engineer,security,Diaries
88,89,12,1,9,no,no,no,no,yes,2,2,job,yes,yes,stubborn,Technical,smart worker,yes,no,Mobile Applications Developer,Business process analyst,Health
80,87,6,6,7,yes,yes,yes,yes,no,1,3,higherstudies,yes,yes,gentle,Management,hard worker,no,yes,E-Commerce Analyst,system developer,Anthology
62,83,9,4,8,no,yes,yes,yes,no,2,2,higherstudies,no,yes,stubborn,Technical,smart worker,no,no,CRM Business Analyst,testing,Series
80,64,10,8,3,yes,yes,yes,no,yes,2,1,higherstudies,yes,no,stubborn,Management,hard worker,yes,yes,Business Systems Analyst,testing,Encyclopedias
74,94,10,8,1,yes,yes,yes,no,yes,3,2,higherstudies,yes,yes,stubborn,Technical,smart worker,no,yes,CRM Business Analyst,security,Fantasy
82,81,7,9,9,no,yes,no,yes,no,3,3,job,no,no,gentle,Technical,smart worker,no,no,Software Quality Assurance (QA) / Testing,cloud computing,Childrens
86,90,4,3,2,no,no,yes,no,no,3,3,job,no,yes,gentle,Management,hard worker,yes,yes,Business Systems Analyst,system developer,Childrens
61,68,11,8,5,yes,yes,no,yes,no,3,3,higherstudies,yes,yes,stubborn,Management,hard worker,no,no,Network Security Administrator,system developer,Encyclopedias
71,90,8,3,2,no,no,yes,no,yes,1,2,higherstudies,no,no,gentle,Management,smart worker,yes,yes,Information Technology Auditor,testing,Journals
85,82,10,6,1,yes,yes,no,no,yes,2,1,job,yes,yes,stubborn,Management,hard worker,yes,yes,Programmer Analyst,Business process analyst,Horror
62,65,8,2,9,no,no,yes,no,yes,1,3,job,yes,yes,gentle,Management,hard worker,no,yes,Software Engineer,system developer,Prayer books
88,64,9,1,7,yes,no,no,no,no,1,2,higherstudies,yes,no,stubborn,Technical,hard worker,no,yes,Applications Developer,security,Autobiographies
89,94,4,6,5,yes,no,no,yes,yes,1,2,job,no,yes,gentle,Technical,hard worker,no,no,Information Technology Auditor,system developer,Self help
71,70,6,3,5,yes,yes,no,yes,yes,1,2,job,no,no,gentle,Technical,smart worker,yes,yes,Web Developer,cloud computing,Mystery
62,82,5,2,4,yes,no,yes,yes,no,1,2,higherstudies,no,no,gentle,Technical,hard worker,no,yes,Programmer Analyst,security,Comics
75,86,4,9,7,no,yes,yes,yes,yes,3,2,job,no,yes,gentle,Technical,smart worker,yes,no,Software Engineer,system developer,Childrens
75,91,12,4,2,yes,yes,yes,yes,yes,2,2,job,no,no,stubborn,Technical,smart worker,no,yes,Information Technology Auditor,cloud computing,Math
61,69,7,3,6,yes,no,yes,no,no,1,2,higherstudies,no,no,gentle,Management,hard worker,no,no,CRM Business Analyst,developer,Journals
67,87,7,1,4,no,no,yes,no,yes,3,1,higherstudies,no,no,gentle,Management,hard worker,no,no,Software Engineer,system developer,Satire
73,69,8,5,4,no,no,yes,no,yes,1,3,job,yes,no,stubborn,Management,hard worker,no,no,Design & UX,Business process analyst,Diaries
85,90,5,1,9,no,no,yes,yes,yes,2,1,higherstudies,yes,no,gentle,Management,hard worker,no,yes,Applications Developer,cloud computing,Autobiographies
73,65,11,3,7,no,yes,no,no,no,3,2,higherstudies,no,no,gentle,Management,hard worker,no,no,Network Security Administrator,Business process analyst,Series
85,60,5,3,4,no,yes,no,no,no,2,2,job,no,no,gentle,Management,hard worker,yes,no,Quality Assurance Associate,cloud computing,Horror
64,74,12,6,2,no,no,yes,no,yes,2,3,higherstudies,yes,yes,stubborn,Technical,smart worker,yes,yes,Technical Engineer,security,Horror
67,81,9,5,2,no,yes,no,yes,yes,2,2,job,yes,no,gentle,Technical,hard worker,no,no,Database Developer,system developer,Diaries
79,92,7,4,8,no,no,no,yes,yes,3,1,higherstudies,yes,no,gentle,Management,hard worker,yes,yes,E-Commerce Analyst,cloud computing,Dictionaries
94,66,11,9,6,yes,no,no,no,yes,1,1,higherstudies,no,yes,gentle,Technical,smart worker,no,no,UX Designer,security,Cookbooks
73,67,10,9,3,no,yes,no,yes,yes,1,3,job,yes,yes,gentle,Technical,hard worker,no,yes,Design & UX,security,Action and Adventure
72,80,11,7,9,no,yes,no,yes,yes,2,2,job,no,no,stubborn,Technical,smart worker,no,no,Technical Services/Help Desk/Tech Support,Business process analyst,Fantasy
84,83,5,4,9,no,yes,no,yes,no,2,1,job,yes,yes,gentle,Technical,smart worker,yes,yes,Software Systems Engineer,testing,Romance
70,82,4,7,6,yes,no,yes,yes,yes,3,2,job,yes,no,gentle,Management,smart worker,no,yes,Data Architect,Business process analyst,History
86,62,9,6,8,yes,no,yes,yes,yes,1,1,higherstudies,no,no,gentle,Technical,hard worker,no,yes,Network Security Engineer,cloud computing,Dictionaries
62,94,8,6,2,yes,yes,yes,no,yes,1,3,higherstudies,no,no,stubborn,Management,hard worker,no,no,Technical Engineer,security,Science
89,65,6,2,1,no,no,yes,yes,yes,1,2,job,yes,no,stubborn,Technical,smart worker,yes,no,Business Intelligence Analyst,developer,History
61,71,10,5,6,no,yes,yes,no,no,1,3,job,yes,no,gentle,Technical,smart worker,yes,no,Technical Support,system developer,Satire
93,73,8,8,8,no,no,no,no,no,3,1,job,no,yes,stubborn,Technical,hard worker,yes,yes,Information Security Analyst,developer,Religion-Spirituality
77,91,9,8,1,yes,no,yes,yes,no,1,1,higherstudies,yes,yes,gentle,Management,smart worker,no,no,CRM Business Analyst,security,Science fiction
75,87,9,5,5,yes,no,no,yes,no,3,3,job,no,yes,gentle,Management,hard worker,yes,no,Programmer Analyst,developer,Comics
79,77,9,7,8,yes,yes,yes,no,yes,1,3,higherstudies,no,no,gentle,Technical,hard worker,yes,yes,Network Security Administrator,developer,Math
66,74,9,5,3,no,yes,no,no,no,2,3,higherstudies,no,yes,stubborn,Technical,hard worker,no,yes,Portal Administrator,system developer,Self help
71,72,5,8,7,no,no,no,yes,no,2,1,higherstudies,no,yes,stubborn,Management,smart worker,yes,no,Solutions Architect,system developer,Series
61,84,9,5,1,yes,no,yes,no,no,2,2,higherstudies,no,no,stubborn,Technical,smart worker,no,no,Software Engineer,Business process analyst,Journals
81,65,8,5,3,yes,no,yes,yes,yes,2,2,job,no,no,gentle,Technical,smart worker,yes,no,Technical Support,system developer,Self help
63,65,5,3,7,yes,no,no,no,yes,1,1,job,no,no,gentle,Technical,hard worker,yes,no,Software Engineer,testing,Cookbooks
74,67,8,8,8,yes,no,yes,no,yes,2,2,job,no,no,stubborn,Management,smart worker,yes,yes,Programmer Analyst,cloud computing,Anthology
82,90,10,9,3,no,yes,no,no,no,1,1,higherstudies,no,yes,gentle,Management,smart worker,no,no,Programmer Analyst,Business process analyst,Science
60,94,12,4,7,no,no,no,no,yes,3,3,higherstudies,no,no,stubborn,Management,smart worker,no,no,Quality Assurance Associate,testing,Cookbooks
78,66,10,2,3,yes,no,yes,no,yes,2,2,higherstudies,yes,yes,gentle,Management,hard worker,yes,yes,CRM Technical Developer,cloud computing,Romance
86,70,5,9,6,yes,no,no,yes,no,3,1,higherstudies,no,yes,gentle,Management,smart worker,yes,no,Portal Administrator,system developer,Diaries
64,60,6,7,7,yes,no,no,yes,yes,1,2,job,yes,yes,gentle,Technical,smart worker,no,no,Software Developer,developer,Cookbooks
81,70,11,7,7,yes,yes,no,no,no,3,2,job,no,yes,stubborn,Management,smart worker,yes,yes,Network Security Administrator,testing,Romance
73,94,9,1,4,no,no,no,yes,no,1,2,job,no,yes,gentle,Technical,smart worker,yes,no,E-Commerce Analyst,system developer,Self help
63,71,12,4,9,yes,yes,yes,no,no,1,2,higherstudies,no,yes,stubborn,Technical,smart worker,yes,yes,Information Technology Manager,security,Childrens
85,72,7,2,2,no,no,yes,yes,no,3,3,job,yes,no,gentle,Management,smart worker,no,no,Data Architect,testing,Diaries
85,76,8,4,6,yes,yes,no,no,yes,2,1,job,no,no,gentle,Technical,smart worker,yes,no,Systems Analyst,testing,Dictionaries
70,84,6,1,6,yes,yes,no,yes,no,3,3,job,no,yes,stubborn,Technical,hard worker,yes,no,Technical Services/Help Desk/Tech Support,security,Comics
88,63,8,2,3,yes,no,yes,yes,no,3,3,higherstudies,no,yes,gentle,Technical,smart worker,no,yes,Solutions Architect,Business process analyst,Self help
72,72,8,5,7,yes,yes,yes,no,no,1,1,job,no,no,stubborn,Technical,smart worker,no,yes,Programmer Analyst,Business process analyst,Science
91,72,12,2,3,no,yes,no,yes,yes,2,1,job,yes,no,stubborn,Technical,smart worker,no,no,Information Technology Manager,testing,Horror
81,63,8,5,7,no,yes,no,yes,yes,3,1,higherstudies,no,no,stubborn,Management,hard worker,yes,no,Information Technology Manager,system developer,Self help
76,63,12,4,2,yes,no,no,yes,yes,2,2,higherstudies,no,no,stubborn,Technical,smart worker,yes,yes,Network Security Engineer,security,Autobiographies
71,85,12,9,1,yes,no,no,no,yes,2,3,higherstudies,yes,yes,gentle,Technical,hard worker,yes,no,Software Quality Assurance (QA) / Testing,system developer,Math
77,71,5,5,4,no,yes,no,no,no,2,2,job,yes,no,gentle,Technical,hard worker,yes,no,Network Security Administrator,system developer,Prayer books
78,65,9,1,2,yes,yes,yes,no,no,2,1,higherstudies,no,no,gentle,Technical,hard worker,yes,yes,Network Security Administrator,developer,Action and Adventure
67,80,9,6,8,no,no,yes,no,no,1,1,higherstudies,no,yes,stubborn,Technical,smart worker,yes,yes,Network Security Administrator,developer,Comics
78,84,10,4,9,no,yes,yes,yes,yes,3,2,job,yes,no,gentle,Technical,smart worker,yes,yes,Network Security Administrator,testing,Horror
93,71,7,9,2,yes,yes,no,no,no,2,1,job,yes,no,gentle,Technical,hard worker,no,no,Information Security Analyst,Business process analyst,Prayer books
73,70,10,8,1,yes,no,yes,yes,no,2,2,job,no,no,stubborn,Technical,hard worker,no,no,Applications Developer,security,Guide
72,77,8,6,7,yes,no,yes,yes,yes,1,2,job,yes,yes,gentle,Management,hard worker,no,yes,Business Systems Analyst,system developer,Guide
84,91,8,3,9,no,no,no,yes,yes,2,2,higherstudies,no,no,stubborn,Technical,smart worker,no,yes,Quality Assurance Associate,security,History
85,68,9,9,6,yes,no,yes,no,no,3,3,higherstudies,yes,no,stubborn,Management,hard worker,no,no,Network Security Administrator,security,Horror
63,65,4,8,4,no,no,no,yes,yes,3,2,higherstudies,yes,no,stubborn,Management,hard worker,yes,no,Web Developer,security,Drama
88,88,11,7,2,yes,no,yes,no,no,1,3,higherstudies,no,no,gentle,Management,hard worker,yes,yes,Technical Engineer,cloud computing,Comics
87,60,8,9,2,yes,no,no,no,yes,2,2,higherstudies,no,yes,gentle,Management,smart worker,yes,no,E-Commerce Analyst,Business process analyst,Series
86,71,11,2,3,no,yes,yes,no,no,2,2,higherstudies,no,no,gentle,Management,smart worker,no,yes,Network Security Administrator,cloud computing,Cookbooks
93,87,4,9,4,yes,yes,yes,no,no,2,2,higherstudies,yes,no,stubborn,Technical,hard worker,yes,yes,CRM Business Analyst,system developer,Comics
74,72,9,8,7,no,yes,yes,yes,no,3,3,higherstudies,yes,yes,gentle,Management,smart worker,yes,no,Portal Administrator,security,Diaries
68,63,8,4,1,no,yes,yes,yes,yes,3,2,higherstudies,yes,no,gentle,Management,smart worker,yes,yes,CRM Technical Developer,security,Guide
84,61,7,3,8,yes,no,no,no,no,2,3,job,yes,yes,stubborn,Management,smart worker,no,no,Business Intelligence Analyst,system developer,Cookbooks
62,92,7,7,9,yes,yes,yes,no,no,2,1,higherstudies,no,no,stubborn,Technical,hard worker,no,yes,UX Designer,security,Poetry
75,70,6,5,1,no,no,no,yes,no,1,2,higherstudies,yes,no,stubborn,Management,smart worker,no,no,Project Manager,Business process analyst,Encyclopedias
88,84,7,6,5,no,yes,yes,yes,yes,3,2,job,yes,yes,stubborn,Management,hard worker,no,yes,Solutions Architect,Business process analyst,Horror
74,80,4,7,2,no,yes,no,no,no,3,1,job,no,yes,stubborn,Management,hard worker,yes,no,E-Commerce Analyst,developer,Romance
85,72,8,5,2,no,yes,no,no,yes,1,2,job,no,yes,stubborn,Management,hard worker,yes,yes,Web Developer,security,Comics
63,82,11,3,3,yes,yes,no,no,yes,3,3,higherstudies,yes,yes,stubborn,Technical,smart worker,no,no,Technical Services/Help Desk/Tech Support,testing,Poetry
73,62,12,9,9,no,yes,yes,no,no,2,2,job,no,no,gentle,Management,smart worker,no,no,CRM Business Analyst,Business process analyst,Journals
72,71,4,9,4,yes,yes,yes,yes,no,1,3,job,no,no,stubborn,Management,smart worker,yes,no,Information Security Analyst,testing,Dictionaries
92,70,7,6,3,no,no,no,no,yes,2,1,higherstudies,yes,no,gentle,Technical,hard worker,yes,no,CRM Technical Developer,system developer,Health
71,77,6,6,1,yes,yes,yes,yes,yes,1,2,higherstudies,no,yes,stubborn,Technical,hard worker,yes,no,Data Architect,testing,Action and Adventure
76,77,4,9,2,yes,yes,yes,no,no,1,1,job,yes,no,stubborn,Management,smart worker,yes,yes,Software Quality Assurance (QA) / Testing,system developer,Series
63,61,4,1,7,no,no,no,yes,yes,3,1,higherstudies,no,no,gentle,Technical,smart worker,no,no,Systems Security Administrator,developer,Health
90,81,4,7,1,no,yes,no,yes,yes,2,1,job,yes,no,stubborn,Management,smart worker,no,no,Data Architect,developer,Health
72,71,11,5,1,yes,no,no,yes,no,3,2,job,no,no,gentle,Technical,smart worker,no,no,Project Manager,cloud computing,Science
77,70,7,8,7,yes,no,no,yes,yes,2,2,higherstudies,no,yes,stubborn,Technical,smart worker,no,no,Systems Security Administrator,system developer,Horror
70,80,7,2,1,no,yes,yes,no,yes,2,3,higherstudies,yes,yes,gentle,Technical,smart worker,yes,no,Systems Analyst,testing,Encyclopedias
82,69,8,7,7,no,no,no,no,no,3,2,job,yes,no,stubborn,Management,hard worker,no,no,Web Developer,security,Prayer books
72,77,5,7,8,no,no,no,yes,yes,3,1,job,no,no,stubborn,Management,hard worker,yes,no,Portal Administrator,cloud computing,Anthology
76,67,9,6,9,yes,yes,yes,no,yes,3,1,job,yes,yes,stubborn,Management,hard worker,yes,no,Systems Security Administrator,system developer,Drama
70,71,7,5,3,no,yes,no,yes,no,1,2,job,no,yes,gentle,Technical,smart worker,no,yes,Database Manager,Business process analyst,Trilogy
94,91,4,9,5,no,yes,no,no,no,2,1,job,yes,yes,gentle,Technical,smart worker,yes,no,Network Security Administrator,testing,Poetry
87,89,10,4,2,no,no,yes,yes,yes,3,2,higherstudies,yes,no,stubborn,Management,smart worker,no,yes,Systems Security Administrator,Business process analyst,Dictionaries
84,74,10,2,8,no,no,yes,yes,yes,3,2,job,yes,yes,stubborn,Management,smart worker,no,no,Information Technology Auditor,testing,Journals
90,93,6,8,5,yes,yes,yes,yes,no,2,3,job,no,no,gentle,Management,smart worker,no,yes,CRM Business Analyst,cloud computing,Fantasy
77,76,6,4,6,no,yes,yes,yes,yes,3,3,higherstudies,no,no,stubborn,Management,smart worker,yes,no,Software Systems Engineer,Business process analyst,History
85,69,12,5,6,yes,no,yes,yes,no,3,2,job,no,yes,gentle,Technical,smart worker,yes,yes,Network Security Administrator,developer,Horror
69,64,11,7,5,yes,yes,yes,no,yes,1,2,job,no,yes,stubborn,Technical,smart worker,yes,yes,Solutions Architect,developer,Diaries
90,69,8,7,7,yes,no,yes,no,no,2,1,job,yes,yes,stubborn,Management,smart worker,yes,yes,Technical Engineer,developer,Science
72,65,7,8,7,yes,yes,yes,no,no,3,3,higherstudies,no,yes,stubborn,Management,hard worker,yes,yes,Programmer Analyst,Business process analyst,Action and Adventure
73,87,5,2,3,no,no,yes,no,no,3,2,higherstudies,yes,no,gentle,Technical,hard worker,no,yes,Portal Administrator,cloud computing,Self help
71,61,4,2,9,yes,yes,no,yes,yes,2,3,higherstudies,yes,no,gentle,Management,smart worker,no,no,Network Security Administrator,Business process analyst,Guide
84,60,6,2,4,yes,no,yes,no,no,3,2,job,yes,no,gentle,Management,hard worker,yes,yes,CRM Business Analyst,security,Guide
80,86,7,5,7,yes,no,no,no,yes,1,3,job,no,yes,gentle,Technical,hard worker,yes,no,CRM Business Analyst,Business process analyst,History
75,91,4,9,2,yes,no,no,yes,yes,2,1,job,no,no,stubborn,Technical,hard worker,no,yes,Quality Assurance Associate,cloud computing,Travel
72,70,4,7,7,no,no,no,no,yes,1,2,higherstudies,yes,yes,gentle,Management,hard worker,no,no,Business Intelligence Analyst,testing,Encyclopedias
77,92,6,9,6,yes,yes,yes,no,no,3,3,higherstudies,no,yes,gentle,Management,hard worker,no,no,Systems Analyst,cloud computing,Poetry
83,79,8,8,2,yes,yes,yes,yes,yes,2,1,job,yes,no,gentle,Technical,hard worker,yes,yes,Software Quality Assurance (QA) / Testing,Business process analyst,Anthology
92,89,4,3,1,yes,yes,no,no,no,2,1,job,no,yes,gentle,Management,hard worker,yes,yes,E-Commerce Analyst,security,Self help
64,64,5,7,7,no,yes,yes,no,no,3,2,higherstudies,no,no,stubborn,Technical,smart worker,no,no,Software Engineer,system developer,Science fiction
66,65,9,9,9,no,yes,yes,yes,no,1,1,job,no,no,gentle,Technical,hard worker,yes,no,CRM Business Analyst,system developer,History
63,92,4,4,3,no,no,no,yes,yes,1,3,higherstudies,no,no,stubborn,Technical,hard worker,yes,no,Network Engineer,testing,Childrens
83,83,9,4,8,yes,yes,yes,no,yes,1,3,job,no,yes,stubborn,Technical,hard worker,yes,no,Quality Assurance Associate,system developer,Biographies
80,93,7,1,9,yes,yes,yes,yes,no,2,3,job,no,no,gentle,Technical,smart worker,no,no,Network Security Administrator,system developer,Biographies
69,62,10,5,1,yes,no,no,no,yes,1,3,higherstudies,no,yes,gentle,Management,smart worker,yes,yes,Portal Administrator,system developer,Trilogy
66,64,11,2,5,no,yes,yes,no,yes,2,2,job,yes,no,stubborn,Management,hard worker,no,no,Business Intelligence Analyst,Business process analyst,Journals
83,69,9,4,2,yes,no,yes,no,yes,2,2,higherstudies,yes,yes,stubborn,Technical,smart worker,no,yes,Software Engineer,cloud computing,Poetry
76,64,5,1,5,yes,no,yes,no,yes,3,2,job,no,yes,gentle,Technical,smart worker,no,no,Business Systems Analyst,security,Dictionaries
60,73,6,5,6,no,no,yes,yes,yes,3,1,job,yes,no,gentle,Management,smart worker,no,yes,UX Designer,Business process analyst,Autobiographies
73,80,12,7,5,yes,yes,yes,no,no,1,2,job,yes,yes,stubborn,Management,smart worker,no,yes,Database Manager,developer,Math
74,68,11,8,4,no,no,no,yes,no,3,3,job,no,yes,stubborn,Technical,hard worker,no,no,Web Developer,security,Self help
71,75,8,4,4,no,yes,no,no,yes,2,1,higherstudies,yes,yes,gentle,Technical,smart worker,no,no,Network Security Administrator,system developer,Mystery
65,83,8,8,3,yes,yes,yes,yes,no,1,1,job,no,yes,gentle,Management,smart worker,no,no,Systems Security Administrator,cloud computing,Science fiction
90,94,12,1,4,yes,yes,yes,yes,no,1,2,higherstudies,yes,yes,gentle,Technical,smart worker,yes,yes,CRM Business Analyst,Business process analyst,Guide
69,67,12,3,2,yes,no,yes,yes,yes,2,3,higherstudies,yes,yes,gentle,Management,hard worker,no,yes,Network Engineer,system developer,Action and Adventure
61,66,12,6,1,yes,yes,yes,no,no,3,2,job,yes,yes,stubborn,Technical,smart worker,yes,no,Programmer Analyst,cloud computing,Romance
89,81,4,1,6,yes,no,no,yes,no,2,2,higherstudies,no,no,stubborn,Technical,hard worker,yes,no,Technical Services/Help Desk/Tech Support,testing,Trilogy
87,93,5,3,6,no,yes,yes,yes,yes,2,2,higherstudies,yes,no,gentle,Technical,smart worker,no,yes,Data Architect,cloud computing,Drama
72,68,6,9,7,no,yes,yes,no,yes,2,1,job,yes,yes,stubborn,Technical,hard worker,no,no,Network Security Engineer,cloud computing,Horror
91,83,11,2,1,no,yes,no,yes,no,2,3,higherstudies,yes,yes,gentle,Management,smart worker,no,yes,Systems Analyst,system developer,History
72,81,8,5,5,yes,no,no,yes,yes,1,3,job,no,yes,stubborn,Management,smart worker,no,no,Portal Administrator,cloud computing,Cookbooks
80,64,4,9,1,yes,yes,yes,no,yes,1,3,higherstudies,yes,no,stubborn,Technical,hard worker,no,yes,CRM Technical Developer,cloud computing,Diaries
63,60,10,7,1,yes,yes,no,yes,yes,3,1,higherstudies,no,no,gentle,Technical,hard worker,no,no,E-Commerce Analyst,system developer,Satire
84,67,11,1,7,yes,yes,no,no,yes,1,2,job,no,no,gentle,Technical,hard worker,no,yes,E-Commerce Analyst,testing,Satire
94,88,12,7,5,yes,no,no,no,yes,1,3,job,no,yes,gentle,Technical,smart worker,yes,no,Software Developer,developer,Dictionaries
62,61,10,3,2,no,no,no,no,no,3,2,job,yes,no,stubborn,Technical,hard worker,yes,no,Database Developer,system developer,Childrens
68,74,10,3,8,no,yes,no,no,yes,3,3,higherstudies,yes,yes,gentle,Technical,hard worker,yes,no,Business Intelligence Analyst,developer,Autobiographies
83,70,10,9,7,yes,yes,no,no,yes,3,3,job,no,no,stubborn,Technical,smart worker,yes,no,Software Quality Assurance (QA) / Testing,cloud computing,Science fiction
76,76,4,8,4,no,no,yes,no,no,1,2,job,yes,yes,gentle,Management,smart worker,yes,yes,Technical Engineer,cloud computing,Math
86,78,4,3,4,no,yes,yes,no,yes,3,2,job,no,no,stubborn,Management,smart worker,no,yes,Information Security Analyst,cloud computing,Trilogy
88,85,5,2,7,no,yes,no,yes,yes,3,2,job,yes,no,gentle,Technical,hard worker,no,no,Design & UX,system developer,Self help
81,83,12,4,7,yes,yes,no,no,no,1,3,job,no,no,stubborn,Technical,hard worker,yes,yes,E-Commerce Analyst,system developer,Action and Adventure
66,89,7,7,9,no,yes,no,yes,no,3,3,job,no,yes,gentle,Technical,hard worker,yes,yes,Information Technology Manager,security,Drama
76,87,5,4,8,no,no,no,no,no,1,2,higherstudies,yes,yes,gentle,Technical,smart worker,no,no,Programmer Analyst,security,Horror
86,70,6,9,7,yes,no,no,yes,no,1,3,higherstudies,yes,no,stubborn,Technical,smart worker,no,no,Information Technology Auditor,system developer,Comics
60,71,6,5,1,no,no,yes,yes,no,2,1,job,yes,yes,stubborn,Management,hard worker,yes,no,Systems Analyst,cloud computing,Encyclopedias
90,83,8,4,4,yes,no,yes,no,yes,2,1,job,no,no,stubborn,Technical,smart worker,yes,yes,Design & UX,system developer,Drama
74,82,9,6,1,yes,yes,yes,yes,yes,2,2,higherstudies,no,no,stubborn,Technical,hard worker,no,yes,UX Designer,system developer,Dictionaries
85,88,4,1,1,no,yes,no,yes,no,3,3,higherstudies,yes,yes,stubborn,Technical,hard worker,no,yes,Information Security Analyst,security,Prayer books
88,92,12,5,5,no,no,yes,yes,no,3,1,higherstudies,yes,no,stubborn,Technical,hard worker,no,yes,Network Security Engineer,security,Self help
73,87,5,9,7,no,yes,no,no,no,2,3,job,yes,no,gentle,Technical,hard worker,no,no,CRM Business Analyst,testing,Encyclopedias
85,85,9,8,6,no,yes,no,no,no,3,3,job,no,no,gentle,Technical,hard worker,no,yes,Project Manager,Business process analyst,Journals
86,69,7,5,1,no,yes,no,yes,no,2,2,job,yes,yes,stubborn,Management,smart worker,no,no,Applications Developer,cloud computing,Self help
84,86,6,5,9,no,no,yes,no,no,2,3,higherstudies,yes,no,gentle,Technical,hard worker,no,no,Network Security Administrator,security,Trilogy
83,70,9,4,7,no,yes,yes,yes,yes,3,3,job,no,no,gentle,Technical,hard worker,no,yes,Mobile Applications Developer,testing,Self help
66,84,5,3,2,no,no,yes,yes,no,3,1,higherstudies,yes,no,gentle,Management,hard worker,no,no,Technical Engineer,developer,Horror
83,70,6,3,7,no,yes,no,no,yes,3,2,job,no,no,stubborn,Technical,smart worker,no,no,Systems Analyst,testing,Self help
61,80,10,8,1,no,yes,no,yes,no,2,2,job,yes,no,stubborn,Management,hard worker,no,no,Data Architect,testing,Science fiction
86,79,7,2,7,yes,no,yes,yes,no,2,3,job,yes,no,stubborn,Management,hard worker,yes,no,Quality Assurance Associate,cloud computing,Trilogy
88,83,12,4,9,no,no,yes,yes,no,1,1,higherstudies,no,yes,stubborn,Technical,hard worker,no,yes,Web Developer,Business process analyst,Diaries
85,75,10,4,1,no,no,no,yes,yes,1,2,higherstudies,no,no,stubborn,Technical,smart worker,yes,no,Mobile Applications Developer,Business process analyst,Health
83,60,4,9,7,yes,yes,no,no,no,1,2,job,no,yes,stubborn,Technical,smart worker,no,yes,Information Security Analyst,system developer,Autobiographies
65,63,10,3,5,yes,no,no,yes,no,3,2,job,no,no,gentle,Technical,smart worker,yes,no,Information Technology Manager,cloud computing,Action and Adventure
72,91,10,6,9,yes,no,no,yes,no,1,3,higherstudies,no,yes,stubborn,Management,hard worker,no,yes,Technical Engineer,cloud computing,Series
